PlayerName,Date,MatchType(OneDay-T20-Test),OppositionTeam,TossWin,BowlingFirst,BattingFirst,hometeam,LastMatchesPerformance,Last3MatchesPerformance,Last6MatchesPerformance,weather,pitch,Form(InOrOut),Order(BattingBowlingOrder),Performance(IT is label. For Batsman:Runs. For Bowler: Wickets)
Shoaib Malik,24/01/2020,T20,Bangladesh,Bangladesh,Bangladesh,Pakistan,Pakistan,Bad,Bad,Bad,Sunny,Flat,Out,4,58
Shoaib Malik,6/2/2019,T20,South Africa,South Africa,Pakistan,South Africa,South Africa,Bad,Bad,Bad,Cloudy,Grassy,Out,4,18
Shoaib Malik,3/2/2019,T20,South Africa,Pakistan,South Africa,Pakistan,South Africa,Good,Good,Bad,Thunderstorm,Flat,Out,5,6
Shoaib Malik,1/2/2019,T20,South Africa,Pakistan,South Africa,Pakistan,South Africa,Bad,Bad,Bad,Cloudy,Grassy,Out,4,49
Shoaib Malik,4/11/2018,T20,New Zealand,Pakistan,Pakistan,New Zealand,Pakistan,Bad,Bad,Bad,Cloudy,Flat,Out,4,19
Shoaib Malik,2/11/2018,T20,New Zealand,New Zealand,New Zealand,Pakistan,Pakistan,Bad,Bad,Bad,Cloudy,Flat,Out,5,10
Shoaib Malik,31/10/2018,T20,New Zealand,Pakistan,Pakistan,New Zealand,Pakistan,Bad,Bad,Bad,Clear,Flat,Out,6,8
Shoaib Malik,28/10/2018,T20,Australia,Pakistan,Pakistan,Australia,Pakistan,Bad,Good,Bad,Cloudy,Flat,Out,4,18
Shoaib Malik,26/10/2018,T20,Australia,Pakistan,Pakistan,Australia,Pakistan,Good,Good,Good,Cloudy,Flat,In,4,14
Shoaib Malik,8/7/2018,T20,Australia,Pakistan,Australia,Pakistan,Non,Good,Bad,Good,Clear,Grassy,In,5,43
Shoaib Malik,5/7/2018,T20,Australia,Australia,Pakistan,Australia,Non,Bad,Bad,Good,Sunny,Flat,In,5,27
Shoaib Malik,4/7/2018,T20,Zimbabwe,Pakistan,Zimbabwe,Pakistan,Zimbabwe,Bad,Good,Good,Cloudy,Flat,In,5,12
Shoaib Malik,2/7/2018,T20,Australia,Australia,Pakistan,Australia,Non,Good,Good,Good,Sunny,Flat,In,5,13
Shoaib Malik,1/7/2018,T20,Zimbabwe,Zimbabwe,Pakistan,Zimbabwe,Zimbabwe,Good,Good,Good,Sunny,Flat,In,5,37
Shoaib Malik,13/06/2018,T20,Scotland,Pakistan,Scotland,Pakistan,Scotland,Good,Bad,Good,Cloudy,Grassy,In,5,49
Shoaib Malik,12/6/2018,T20,Scotland,Pakistan,Scotland,Pakistan,Scotland,Bad,Bad,Good,Cloudy,Grassy,In,5,53
Shoaib Malik,31/05/2018,T20,West Indies,ICC World XI,West Indies,ICC World XI,Non,Good,Good,Good,Cloudy,Grassy,In,5,12
